x,y_true,y_interpolated,error
0.000,0.000000,0.000000,0.000000
0.010,0.156481,0.602294,-0.445813
0.020,0.309396,1.024552,-0.715156
0.030,0.455295,1.298967,-0.843672
0.040,0.590963,1.453970,-0.863006
0.050,0.713525,1.514508,-0.800982
0.060,0.820538,1.502325,-0.681787
0.070,0.910071,1.436220,-0.526149
0.080,0.980767,1.332295,-0.351528
0.090,1.031884,1.204191,-0.172307
0.100,1.063314,1.063314,0.000000
0.110,1.075577,0.919044,0.156533
0.120,1.069804,0.778941,0.290863
0.130,1.047681,0.648928,0.398753
0.140,1.011390,0.533474,0.477916
0.150,0.963525,0.435760,0.527765
0.160,0.906995,0.357839,0.549155
0.170,0.844911,0.300781,0.544131
0.180,0.780482,0.264809,0.515673
0.190,0.716887,0.249433,0.467454
0.200,0.657164,0.253563,0.403601
0.210,0.604099,0.275624,0.328475
0.220,0.560123,0.313651,0.246472
0.230,0.527226,0.365389,0.161838
0.240,0.506883,0.428371,0.078512
0.250,0.500000,0.500000,0.000000
0.260,0.506883,0.577615,-0.070732
0.270,0.527226,0.658556,-0.131330
0.280,0.560123,0.740214,-0.180091
0.290,0.604099,0.820086,-0.215987
0.300,0.657164,0.895810,-0.238646
0.310,0.716887,0.965205,-0.248318
0.320,0.780482,1.026301,-0.245819
0.330,0.844911,1.077360,-0.232448
0.340,0.906995,1.116897,-0.209902
0.350,0.963525,1.143692,-0.180167
0.360,1.011390,1.156804,-0.145414
0.370,1.047681,1.155568,-0.107887
0.380,1.069804,1.139601,-0.069797
0.390,1.075577,1.108795,-0.033218
0.400,1.063314,1.063314,0.000000
0.410,1.031884,1.003577,0.028307
0.420,0.980767,0.930252,0.050515
0.430,0.910071,0.844232,0.065839
0.440,0.820538,0.746620,0.073918
0.450,0.713525,0.638710,0.074815
0.460,0.590963,0.521958,0.069006
0.470,0.455295,0.397960,0.057335
0.480,0.309396,0.268427,0.040969
0.490,0.156481,0.135155,0.021326
0.500,0.000000,-0.000000,0.000000
0.510,-0.156481,-0.135155,-0.021326
0.520,-0.309396,-0.268427,-0.040969
0.530,-0.455295,-0.397960,-0.057335
0.540,-0.590963,-0.521958,-0.069006
0.550,-0.713525,-0.638710,-0.074815
0.560,-0.820538,-0.746620,-0.073918
0.570,-0.910071,-0.844232,-0.065839
0.580,-0.980767,-0.930252,-0.050515
0.590,-1.031884,-1.003577,-0.028307
0.600,-1.063314,-1.063314,0.000000
0.610,-1.075577,-1.108795,0.033218
0.620,-1.069804,-1.139601,0.069797
0.630,-1.047681,-1.155568,0.107887
0.640,-1.011390,-1.156804,0.145414
0.650,-0.963525,-1.143692,0.180167
0.660,-0.906995,-1.116897,0.209902
0.670,-0.844911,-1.077360,0.232448
0.680,-0.780482,-1.026301,0.245819
0.690,-0.716887,-0.965205,0.248318
0.700,-0.657164,-0.895810,0.238646
0.710,-0.604099,-0.820086,0.215987
0.720,-0.560123,-0.740214,0.180091
0.730,-0.527226,-0.658556,0.131330
0.740,-0.506883,-0.577615,0.070732
0.750,-0.500000,-0.500000,0.000000
0.760,-0.506883,-0.428371,-0.078512
0.770,-0.527226,-0.365389,-0.161838
0.780,-0.560123,-0.313651,-0.246472
0.790,-0.604099,-0.275624,-0.328475
0.800,-0.657164,-0.253563,-0.403601
0.810,-0.716887,-0.249433,-0.467454
0.820,-0.780482,-0.264809,-0.515673
0.830,-0.844911,-0.300781,-0.544131
0.840,-0.906995,-0.357839,-0.549155
0.850,-0.963525,-0.435760,-0.527765
0.860,-1.011390,-0.533474,-0.477916
0.870,-1.047681,-0.648928,-0.398753
0.880,-1.069804,-0.778941,-0.290863
0.890,-1.075577,-0.919044,-0.156533
0.900,-1.063314,-1.063314,0.000000
0.910,-1.031884,-1.204191,0.172307
0.920,-0.980767,-1.332295,0.351528
0.930,-0.910071,-1.436220,0.526149
0.940,-0.820538,-1.502325,0.681787
0.950,-0.713525,-1.514508,0.800982
0.960,-0.590963,-1.453970,0.863006
0.970,-0.455295,-1.298967,0.843672
0.980,-0.309396,-1.024552,0.715156
0.990,-0.156481,-0.602294,0.445813
1.000,-0.000000,-0.000000,0.000000
