freq_bin,time_frame,magnitude
0,0,49.776853
0,10,0.014488
0,20,0.048138
0,30,0.000195
0,40,0.125581
0,50,0.472117
0,60,0.490322
0,70,0.005797
0,80,0.075840
0,90,0.000085
0,100,0.048810
0,110,0.002445
0,120,0.070953
0,130,0.069115
0,140,0.000209
0,150,0.000512
0,160,0.008472
0,170,7.725123
0,180,12944.128788
0,190,1487.791918
0,200,3.252405
0,210,0.432726
0,220,0.172184
0,230,0.166481
0,240,0.050091
0,250,0.491926
0,260,0.011307
0,270,0.234208
0,280,0.437469
0,290,1.566149
0,300,13103.990711
0,310,900.070630
5,0,517.872480
5,10,3.175682
5,20,0.109357
5,30,0.199580
5,40,0.175139
5,50,0.023901
5,60,0.197389
5,70,0.119665
5,80,0.128771
5,90,0.265380
5,100,0.192135
5,110,0.203386
5,120,0.172711
5,130,0.137811
5,140,764.026389
5,150,3442.241231
5,160,2.923599
5,170,0.433979
5,180,0.048175
5,190,0.157452
5,200,2.362068
5,210,53.451871
5,220,2192.702484
5,230,4086.421519
5,240,3675.392367
5,250,3509.957681
5,260,4032.993300
5,270,0.429135
5,280,172.167768
5,290,0.482223
5,300,0.099833
5,310,0.083339
10,0,13.201226
10,10,2.182667
10,20,49.869089
10,30,1892.501617
10,40,3764.347110
10,50,3470.100459
10,60,2072.671390
10,70,1567.014823
10,80,1791.725162
10,90,3025.058049
10,100,0.572745
10,110,2123.432441
10,120,23.152694
10,130,0.091594
10,140,0.015923
10,150,0.420120
10,160,0.175090
10,170,1.067253
10,180,0.069201
10,190,0.240094
10,200,0.107045
10,210,0.001918
10,220,0.070869
10,230,0.060797
10,240,0.215655
10,250,0.481831
10,260,0.236309
10,270,0.395475
10,280,0.348077
10,290,0.095075
10,300,0.110813
10,310,0.095808
15,0,0.049218
15,10,0.357828
15,20,0.096820
15,30,0.135923
15,40,0.040804
15,50,0.013756
15,60,0.010984
15,70,0.292020
15,80,0.161947
15,90,0.032935
15,100,0.540710
15,110,0.303353
15,120,0.162543
15,130,0.097717
15,140,0.019135
15,150,0.142732
15,160,0.187806
15,170,0.470302
15,180,0.100596
15,190,0.007255
15,200,0.073543
15,210,0.016869
15,220,0.048615
15,230,0.507721
15,240,0.300149
15,250,0.043532
15,260,0.094989
15,270,0.186161
15,280,0.082181
15,290,0.385632
15,300,0.003660
15,310,0.287152
20,0,4.210626
20,10,0.870396
20,20,0.000071
20,30,0.481965
20,40,0.441804
20,50,0.287382
20,60,0.045571
20,70,0.024904
20,80,0.199550
20,90,0.077129
20,100,0.417122
20,110,0.062889
20,120,0.003357
20,130,0.035127
20,140,0.164115
20,150,0.026187
20,160,0.117657
20,170,0.407057
20,180,0.005397
20,190,0.249745
20,200,0.229415
20,210,0.061266
20,220,0.015735
20,230,0.223361
20,240,0.097921
20,250,0.054431
20,260,0.309323
20,270,0.147223
20,280,0.192258
20,290,0.287851
20,300,0.123925
20,310,0.205415
25,0,305.754403
25,10,893.344282
25,20,927.343694
25,30,891.909367
25,40,925.812549
25,50,931.812663
25,60,913.605315
25,70,898.782581
25,80,897.508051
25,90,905.727779
25,100,0.470578
25,110,944.633403
25,120,881.883929
25,130,917.158299
25,140,901.508865
25,150,895.103641
25,160,886.131650
25,170,942.575373
25,180,904.680754
25,190,926.239979
25,200,878.359475
25,210,917.454994
25,220,910.490883
25,230,914.907625
25,240,922.402245
25,250,911.951886
25,260,909.120526
25,270,0.084168
25,280,901.072350
25,290,893.952137
25,300,917.505263
25,310,942.057628
30,0,8.198878
30,10,0.116384
30,20,0.161012
30,30,0.104310
30,40,0.019979
30,50,0.087874
30,60,0.104405
30,70,0.224757
30,80,0.360323
30,90,0.275873
30,100,0.221765
30,110,0.087748
30,120,0.231484
30,130,0.749137
30,140,0.265816
30,150,0.080029
30,160,0.457108
30,170,0.289927
30,180,0.063216
30,190,0.328259
30,200,0.000162
30,210,0.216835
30,220,0.007161
30,230,0.028070
30,240,0.641157
30,250,0.122749
30,260,0.091854
30,270,0.034472
30,280,0.166703
30,290,0.088159
30,300,0.179057
30,310,0.543603
35,0,1.741035
35,10,0.063978
35,20,0.019108
35,30,0.010985
35,40,0.027638
35,50,0.008351
35,60,0.301557
35,70,0.286760
35,80,0.164898
35,90,0.274329
35,100,0.058927
35,110,0.079097
35,120,0.100376
35,130,0.702731
35,140,0.070405
35,150,0.039271
35,160,0.140821
35,170,0.315872
35,180,0.020518
35,190,0.117422
35,200,0.368242
35,210,0.228245
35,220,0.042679
35,230,0.257177
35,240,0.207009
35,250,0.149657
35,260,0.033986
35,270,0.015295
35,280,0.009032
35,290,0.026573
35,300,0.073128
35,310,0.436578
40,0,0.864519
40,10,0.236043
40,20,0.027264
40,30,0.435903
40,40,0.069053
40,50,0.009475
40,60,0.137008
40,70,0.884196
40,80,0.073094
40,90,0.254569
40,100,0.029923
40,110,0.005520
40,120,0.006425
40,130,0.010721
40,140,0.350049
40,150,0.066360
40,160,0.280142
40,170,1.675533
40,180,0.048023
40,190,0.219996
40,200,0.007482
40,210,0.380627
40,220,0.016194
40,230,0.189537
40,240,0.076530
40,250,0.045110
40,260,0.181831
40,270,0.011884
40,280,0.801449
40,290,0.083019
40,300,0.029812
40,310,0.216092
45,0,0.783785
45,10,0.325580
45,20,0.466888
45,30,0.399521
45,40,0.032650
45,50,0.097880
45,60,0.298564
45,70,0.093158
45,80,0.297976
45,90,0.075723
45,100,0.014374
45,110,0.114860
45,120,0.033771
45,130,0.253947
45,140,0.320503
45,150,0.072976
45,160,0.209932
45,170,0.666288
45,180,0.157476
45,190,0.167468
45,200,0.547845
45,210,0.275540
45,220,0.114606
45,230,0.083394
45,240,0.756663
45,250,0.183323
45,260,0.037461
45,270,0.026103
45,280,0.517798
45,290,0.372453
45,300,0.118765
45,310,0.018504
50,0,0.795191
50,10,0.124638
50,20,0.049019
50,30,0.981537
50,40,1.371743
50,50,0.172243
50,60,0.098094
50,70,0.086056
50,80,0.075672
50,90,0.067801
50,100,0.010628
50,110,0.022234
50,120,0.041958
50,130,0.166319
50,140,0.035001
50,150,0.010760
50,160,0.092426
50,170,91.014930
50,180,83.640249
50,190,90.945263
50,200,86.970003
50,210,80.626317
50,220,82.447453
50,230,85.176370
50,240,81.846108
50,250,83.429652
50,260,91.269693
50,270,0.047803
50,280,75.167295
50,290,83.862924
50,300,91.210444
50,310,84.516907
55,0,0.497930
55,10,0.407895
55,20,0.089208
55,30,0.343080
55,40,0.122077
55,50,0.302625
55,60,0.010294
55,70,0.129443
55,80,0.016965
55,90,0.026752
55,100,0.009491
55,110,0.210923
55,120,0.030790
55,130,0.214737
55,140,0.129103
55,150,0.184067
55,160,0.150941
55,170,6.423092
55,180,0.316736
55,190,0.109774
55,200,0.117752
55,210,0.002778
55,220,0.135997
55,230,0.070958
55,240,0.033958
55,250,0.102981
55,260,0.300221
55,270,0.050101
55,280,0.070840
55,290,0.101799
55,300,0.040791
55,310,0.919350
60,0,0.085041
60,10,0.873272
60,20,0.068887
60,30,0.057875
60,40,0.001452
60,50,0.178707
60,60,0.126000
60,70,0.120218
60,80,0.029259
60,90,0.129318
60,100,0.007066
60,110,0.390106
60,120,0.036458
60,130,0.368748
60,140,0.024406
60,150,0.000665
60,160,0.099801
60,170,0.183758
60,180,0.098039
60,190,0.002312
60,200,0.105380
60,210,0.247123
60,220,0.010493
60,230,0.202783
60,240,0.016019
60,250,0.209220
60,260,0.016509
