x,j₀(x),j₁(x),j₂(x),j₃(x),y₀(x),y₁(x),j₀_scaled(x),j₁_scaled(x)
0.010000,0.9999833334,0.0033333000,0.0000066666,0.0000000095,-99.9950000417,-10000.4999875001,1.0000000000,0.9999333333
0.020000,0.9999333347,0.0066664000,0.0000266659,0.0000000762,-49.9900003333,-2500.4999500011,1.0000000000,0.9997333333
0.030000,0.9998500067,0.0099991000,0.0000599961,0.0000002571,-33.3183344583,-1111.6109986167,1.0000000000,0.9994000000
0.040000,0.9997333547,0.0133312001,0.0001066545,0.0000006095,-24.9800026665,-625.4998000178,1.0000000000,0.9989333333
0.050000,0.9995833854,0.0166625004,0.0001666369,0.0000011903,-19.9750052079,-400.4996875434,1.0000000000,0.9983333333
0.060000,0.9994001080,0.0199928009,0.0002399383,0.0000020567,-16.6366756656,-278.2773278678,1.0000000000,0.9976000000
0.070000,0.9991835334,0.0233219020,0.0003265523,0.0000032658,-14.2507285750,-204.5810203198,1.0000000000,0.9967333333
0.080000,0.9989336746,0.0266496039,0.0004264717,0.0000048745,-12.4600213288,-156.7492002844,1.0000000000,0.9957333333
0.090000,0.9986505466,0.0299757070,0.0005396876,0.0000069397,-11.0661414779,-123.9557780790,1.0000000000,0.9946000000
0.100000,0.9983341665,0.0333000119,0.0006661906,0.0000095185,-9.9500416528,-100.4987506943,1.0000000000,0.9933333333
0.110000,0.9979845531,0.0366223192,0.0008059697,0.0000126677,-9.0359645269,-83.1431166156,1.0000000000,0.9919333333
0.120000,0.9976017274,0.0399424296,0.0009590130,0.0000164440,-8.2734052988,-69.9426458839,1.0000000000,0.9904000000
0.130000,0.9971857125,0.0432601442,0.0011253073,0.0000209042,-7.6273991824,-59.6694871157,1.0000000000,0.9887333333
0.140000,0.9967365332,0.0465752640,0.0013048383,0.0000261049,-7.0729714015,-51.5179608297,1.0000000000,0.9869333333
0.150000,0.9962542165,0.0498875904,0.0014975908,0.0000321027,-6.5918071862,-44.9416354581,1.0000000000,0.9850000000
0.160000,0.9957387913,0.0531969248,0.0017035481,0.0000389541,-6.1701705211,-39.5593045482,1.0000000000,0.9829333333
0.170000,0.9951902886,0.0565030689,0.0019226927,0.0000467154,-5.7975574524,-35.0984694204,1.0000000000,0.9807333333
0.180000,0.9946087413,0.0598058248,0.0021550056,0.0000554430,-5.4657982933,-31.3601548150,1.0000000000,0.9784000000
0.190000,0.9939941841,0.0631049946,0.0024004671,0.0000651929,-5.1684433427,-28.1963275668,1.0000000000,0.9759333333
0.200000,0.9933466540,0.0664003807,0.0026590561,0.0000760213,-4.9003328892,-25.4950111000,1.0000000000,0.9733333333
0.210000,0.9926661897,0.0696917858,0.0029307503,0.0000879841,-4.6572900701,-23.1702379522,1.0000000000,0.9706000000
0.220000,0.9919528322,0.0729790130,0.0032155266,0.0001011371,-4.4358974970,-21.1551232729,1.0000000000,0.9677333333
0.230000,0.9912066241,0.0762618655,0.0035133605,0.0001155361,-4.2333321522,-19.3969985901,1.0000000000,0.9647333333
0.240000,0.9904276101,0.0795401469,0.0038242264,0.0001312364,-4.0472415619,-17.8539341180,1.0000000000,0.9616000000
0.250000,0.9896158370,0.0828136612,0.0041480977,0.0001482936,-3.8756496868,-16.4922145844,1.0000000000,0.9583333333
0.260000,0.9887713534,0.0860822127,0.0044849467,0.0001667628,-3.7168845313,-15.2844810891,1.0000000000,0.9549333333
0.270000,0.9878942100,0.0893456059,0.0048347445,0.0001866992,-3.5695218384,-14.2083454633,1.0000000000,0.9514000000
